i1,o1
33.8,1
35.6,2
37.4,3
39.2,4
41,5
42.8,6
44.6,7
46.4,8
48.2,9
50,10
51.8,11
53.6,12
55.4,13
57.2,14
59,15
60.8,16
62.6,17
64.4,18
66.2,19
68,20
69.8,21
71.6,22
73.4,23
75.2,24
77,25
78.8,26
80.6,27
82.4,28
84.2,29
86,30
87.8,31
89.6,32
91.4,33
93.2,34
95,35
96.8,36
98.6,37
100.4,38
102.2,39
104,40
105.8,41
107.6,42
109.4,43
111.2,44
113,45
114.8,46
116.6,47
118.4,48
120.2,49
122,50
123.8,51
125.6,52
127.4,53
129.2,54
131,55
132.8,56
134.6,57
136.4,58
138.2,59
140,60
141.8,61
143.6,62
145.4,63
147.2,64
149,65
150.8,66
152.6,67
154.4,68
156.2,69
158,70
159.8,71
161.6,72
163.4,73
165.2,74
167,75
168.8,76
170.6,77
172.4,78
174.2,79
176,80
177.8,81
179.6,82
181.4,83
183.2,84
185,85
186.8,86
188.6,87
190.4,88
192.2,89
194,90
195.8,91
197.6,92
199.4,93
201.2,94
203,95
204.8,96
206.6,97
208.4,98
210.2,99
212,100
